ticker,total_volume,adf,adf_10%_level,below_10%,adf_p,natr_min,natr_mean,min_price,mean_price,max_price
JNJ,1935297162.0,-0.3701740096172552,-2.56678582924922,False,0.9149608112390859,0.021743567328028714,0.06352051321129278,141.2875,159.19298281906185,185.975
DKNG,2359468603.0,-2.2527401009407244,-2.56678582924922,False,0.18766328871346422,0.04886155047625209,0.15277180850721647,29.66,40.22602633494496,53.5851
SNOW,1323793123.0,-1.5907123112984893,-2.56678582924922,False,0.488257345032174,0.04266114965255837,0.14536848840935182,108.87,176.57190071033844,249.9422
SHEL,1076614091.0,-2.210717422672953,-2.56678582924922,False,0.20237867148943867,0.018860504760384224,0.05416835630755807,58.575,68.01366232555293,74.19
NVDA,53094994765.0,-0.7600257090085322,-2.56678582924922,False,0.8305832150677439,0.03893482818633676,0.1570644167426858,86.92,141.4245798672256,187.2138
IOT,1095678688.0,-1.6060128993335685,-2.56678582924922,False,0.48057235931868236,0.04290062902594951,0.14699701081681193,31.49,43.47383157903507,61.675
UMC,2601942504.0,-2.416361741406835,-2.56678582924922,False,0.13717157883296166,0.03655562028176623,0.11787861520028474,5.615,7.016565866330624,8.455
MRNA,2411343017.0,-3.088582095357721,-2.56678582924922,True,0.02740978488105259,0.06629911205026867,0.226213853470879,23.22,34.47061330943318,66.93
DASH,967436684.0,-0.7692599218319354,-2.56678582924922,False,0.8279854140214503,0.03400792836569387,0.11927986040286123,140.54,200.86548941562597,275.705
FE,1014764402.0,-1.9481299700926595,-2.56678582924922,False,0.309768725187865,0.019261686744727786,0.058413611702388055,37.61,41.4099650255015,46.115
ON,2092015332.0,-1.7282782194835826,-2.56678582924922,False,0.4166047206830868,0.050147771988473124,0.1559912540669128,31.06,53.94971183932722,76.035
GILD,1738903922.0,-2.0220147754215256,-2.56678582924922,False,0.277004579951823,0.02141229201130216,0.08543543523696912,82.82,103.35847705882112,121.82
WOLF,7491513152.0,0.7447912222655622,-2.56678582924922,False,0.990690649025469,0.14378325216498225,0.6191964591729936,0.3904,5.172810655560128,34.1054
TEVA,2526151584.0,-1.6639567433574007,-2.56678582924922,False,0.4497721276702918,0.04006051824665612,0.1195954443059764,12.485,17.432904260580187,22.8
XP,1605098156.0,-1.179500680120033,-2.56678582924922,False,0.6823512611820006,0.04161460505570367,0.11339821389773265,10.825,16.217682204834894,20.64
PDD,2246002341.0,-2.427921855110982,-2.56678582924922,False,0.1340102369779027,0.030846074582944857,0.12302058014492244,87.4703,113.66841060076123,155.0
NVO,2385489508.0,-1.5811521780225812,-2.56678582924922,False,0.4930540971484633,0.02131918665627183,0.09892264192352403,45.1035,79.32792248855056,120.55
APLD,7371252596.0,0.4553153009634516,-2.56678582924922,False,0.9834497596778049,0.14902148245147864,0.40695366581424297,3.3687,9.618463465713404,25.54
SRE,994453595.0,-1.7421003172413396,-2.56678582924922,False,0.409561979263519,0.024334063354190735,0.08182107080552226,62.0695,80.17897373062443,95.7425
